[10,16,21,28,33,39,9]
[1,28,32,36,40,42,1]
[2,15,18,33,35,40,3]
[6,8,12,14,20,42,3]
[4,22,27,33,35,39,7]
[19,23,27,33,41,42,1]
[9,18,21,26,36,39,7]
[6,13,16,28,35,39,8]
[4,8,18,38,39,41,4]
[4,11,13,16,24,34,8]
[2,7,26,31,33,42,3]
[1,11,16,17,28,31,7]
[4,9,25,33,38,39,5]
[12,17,24,29,31,40,2]
[3,8,9,30,34,41,7]
[13,21,35,36,38,42,0]
[1,2,12,19,35,36,7]
[2,8,17,19,35,36,8]
[7,10,22,39,40,42,6]
[2,5,11,19,21,29,2]
[2,6,14,24,35,36,0]
[4,8,10,14,21,25,6]
[1,14,19,33,35,42,8]
[10,15,19,21,25,32,2]
[3,6,10,16,26,34,9]
[7,11,13,29,30,40,1]
[10,20,22,29,30,34,3]
[11,15,17,29,32,40,5]
[5,11,12,26,36,42,2]
[12,15,21,23,34,40,9]
[3,5,7,11,13,20,2]
[7,13,16,23,31,33,1]
[8,10,23,25,36,37,0]
[7,9,12,21,31,36,7]
[4,10,19,24,35,40,9]
[6,17,18,30,34,35,3]
[4,6,14,27,37,40,1]
[1,3,17,20,31,36,4]
[14,16,31,33,35,36,1]
[5,14,20,37,39,41,3]
[4,5,6,10,37,41,9]
[16,17,19,29,32,40,6]
[4,6,8,18,21,26,0]
[2,5,29,33,40,42,5]
[1,5,12,15,32,42,8]
[5,10,21,30,36,40,4]
[8,9,14,21,28,39,0]
[1,9,11,13,19,21,5]
[5,6,12,18,25,40,5]
[8,12,14,18,23,34,1]
[5,9,14,32,40,41,2]
[6,20,21,31,39,41,5]
[1,16,17,27,31,36,4]
[8,12,27,28,35,40,5]
[12,21,22,32,41,42,9]
[6,7,11,21,27,28,1]
[3,6,15,23,33,35,7]
[7,8,10,16,38,42,2]
[2,10,14,24,28,37,0]
[9,10,11,29,36,40,0]
[9,10,18,22,34,37,4]
[10,23,26,27,28,39,4]
[3,13,14,24,28,39,3]
[7,19,22,25,31,36,3]
[10,11,12,13,15,35,7]
[3,6,7,21,27,30,1]
[3,13,21,30,38,40,4]
[7,9,16,27,30,40,6]
[4,5,22,28,35,41,1]
[2,5,9,23,28,37,7]
[2,20,21,24,29,37,0]
[6,8,10,24,29,30,3]
[5,6,25,28,31,39,5]
[3,11,14,19,34,36,7]
[18,23,29,32,34,36,4]
[1,4,17,29,35,42,3]
[2,4,6,31,36,40,2]
[15,20,24,29,39,42,7]
[10,14,15,16,19,37,5]
[3,8,10,16,17,19,9]
[2,11,13,20,31,34,0]
[4,8,22,24,31,41,0]
[5,11,16,28,31,35,9]
[11,15,18,19,24,40,6]
[5,6,22,34,40,42,5]
[1,6,10,28,33,39,0]
[3,5,23,38,39,41,0]
[7,16,18,20,30,34,5]
[20,23,31,33,35,38,6]
[7,25,26,29,33,34,3]
[1,17,22,24,37,38,1]
[1,2,12,17,22,41,7]
[4,7,17,20,27,39,1]
[1,13,18,23,36,41,0]
[15,21,23,24,29,39,8]
[7,13,19,24,30,35,9]
[5,14,18,25,29,31,8]
[6,16,17,20,33,41,6]
[1,7,12,17,37,40,3]
[27,31,32,36,39,41,9]
[3,9,26,30,31,32,1]
[5,16,22,32,37,39,2]
[4,21,29,30,37,42,3]
[4,12,16,28,33,38,8]
[5,15,19,22,39,40,4]
[2,3,6,10,22,40,6]
[14,16,18,28,34,42,8]
[19,25,30,33,37,41,4]
[1,4,7,34,35,40,5]
[4,9,16,18,27,41,7]
[10,15,34,35,37,41,8]
[4,9,16,24,39,41,8]
[3,5,18,24,25,35,9]
[3,4,16,34,35,41,5]
[6,9,10,11,16,26,9]
[6,16,17,19,30,31,9]
[2,19,20,22,26,32,1]
