[31,36,1,16,27,17,4]
[35,40,27,28,12,8,5]
[22,42,41,32,12,21,9]
[27,28,6,7,21,11,1]
[35,6,33,23,3,15,7]
[38,16,10,7,42,8,2]
[2,28,10,14,24,37,0]
[29,11,40,9,10,36,0]
[34,37,18,10,22,9,4]
[39,26,23,27,28,10,4]
[3,14,39,28,13,24,3]
[36,22,25,19,31,7,3]
[15,13,10,35,11,12,7]
[3,21,27,6,7,30,1]
[40,3,30,38,21,13,4]
[27,9,30,40,16,7,6]
[41,35,5,28,4,22,1]
[23,9,37,2,5,28,7]
[2,29,20,24,37,21,0]
[24,30,8,10,6,29,3]
[25,5,28,31,39,6,5]
[34,11,3,19,14,36,7]
[32,29,18,36,23,34,4]
[4,42,29,1,35,17,3]
[40,6,2,31,4,36,2]
[24,15,20,42,39,29,7]
[10,37,15,16,14,19,5]
[10,8,19,17,16,3,9]
[31,13,34,2,20,11,0]
[24,8,4,22,31,41,0]
[31,5,28,35,16,11,9]
[18,19,24,11,40,15,6]
[6,42,5,22,34,40,5]
[39,10,33,1,6,28,0]
[23,3,39,41,5,38,0]
[7,16,30,20,34,18,5]
[35,33,20,23,31,38,6]
[33,34,7,25,29,26,3]
[1,17,22,38,24,37,1]
[2,1,17,12,22,41,7]
[4,39,27,17,7,20,1]
[36,18,13,1,41,23,0]
[15,29,23,39,21,24,8]
[30,24,35,13,7,19,9]
[29,5,18,14,31,25,8]
[16,20,33,41,17,6,6]
[1,7,40,12,37,17,3]
[36,27,39,41,32,31,9]
[9,3,26,30,32,31,1]
[22,37,16,5,39,32,2]
[29,37,4,42,30,21,3]
[4,28,12,33,16,38,8]
[40,22,19,5,15,39,4]
[6,10,22,2,40,3,6]
[16,28,14,34,18,42,8]
[41,19,30,25,37,33,4]
[34,35,4,40,7,1,5]
[27,18,41,4,16,9,7]
[15,10,35,37,41,34,8]
[4,39,9,24,16,41,8]
[5,35,25,3,24,18,9]
[41,16,4,3,35,34,5]
[6,11,16,26,10,9,9]
[16,17,31,30,19,6,9]
[19,26,32,22,20,2,1]
[26,4,9,16,21,36,5]
[19,28,7,15,14,31,6]
[20,33,31,41,6,23,6]
[13,26,30,27,19,1,2]
[42,13,26,23,7,8,2]
[1,24,19,15,7,20,3]
[13,36,25,2,14,34,5]
[33,41,3,28,11,25,7]
[9,35,42,31,30,25,4]
[31,26,4,6,19,36,0]
[11,12,33,23,37,35,4]
[5,11,24,18,36,2,6]
[30,26,25,31,20,10,7]
[4,34,29,33,41,31,5]
[22,7,41,37,30,27,1]
[40,1,26,37,34,33,5]
[29,19,42,28,25,5,8]
[23,22,2,17,38,26,9]
[34,33,18,14,1,29,5]
[38,12,37,19,18,8,5]
