30,20,32,29,16,9,6
27,10,39,20,6,38,9
3,33,22,25,8,19,7
2,15,19,20,36,27,8
9,29,5,21,27,7,7
2,38,11,30,41,31,1
27,13,17,20,12,29,5
36,3,38,30,22,8,7
38,10,41,8,4,11,6
17,19,8,41,37,31,3
28,33,32,30,14,27,1
2,33,15,34,31,8,7
31,21,26,1,12,34,9
10,37,4,41,39,9,0
41,34,15,32,35,22,4
7,31,41,32,38,18,8
23,29,38,39,37,10,9
12,41,37,14,17,5,5
3,22,21,6,23,12,0
20,27,4,21,39,30,4
21,4,24,3,2,29,7
29,23,34,40,4,33,5
11,39,28,14,18,26,0
15,1,20,38,8,16,6
34,38,11,33,40,25,4
25,39,31,11,20,13,5
10,41,16,38,22,28,5
4,32,18,22,8,9,5
3,41,23,8,35,12,3
12,24,23,1,6,13,0
20,4,28,37,15,34,6
24,3,42,7,39,25,3
13,4,17,1,5,30,7
3,1,37,41,28,27,5
12,19,33,22,34,15,3
13,7,37,34,36,16,8
37,18,34,29,11,9,1
7,26,2,31,17,27,0
21,29,30,16,38,2,1
13,7,1,3,35,14,1
9,36,15,22,21,39,7
39,12,14,20,30,19,0
22,14,19,10,23,7,8
33,13,12,17,3,25,9
40,29,7,28,13,8,0
6,11,17,5,14,34,0
2,8,14,7,34,26,7
6,35,13,39,2,25,3
37,18,25,33,22,29,8
2,21,8,28,7,29,0
24,14,40,30,36,27,3
27,18,20,28,12,42,8
11,12,38,31,22,4,8
39,13,21,18,11,40,6
13,12,19,41,23,8,5
18,23,16,5,24,2,0
12,27,5,42,15,35,5
31,40,30,36,28,42,2
3,27,26,24,23,7,0
28,40,20,13,21,41,4
31,4,3,33,14,13,9
33,42,2,11,10,16,2
31,21,34,28,23,24,0
13,9,4,18,35,26,5
12,1,19,39,35,7,5
3,16,34,37,7,14,0
4,2,6,26,33,36,3
10,2,7,13,20,3,2
21,35,39,13,11,6,2
22,41,10,29,35,4,1
6,5,32,42,16,36,0
5,26,36,21,9,10,2
6,8,24,7,35,36,4
17,6,10,1,16,28,4
,11,39,34,31,8,7
16,39,3,24,10,6,9
15,5,38,37,21,30,1
34,24,25,1,31,27,6
4,19,14,30,6,40,2
20,31,15,36,35,13,6
20,29,25,42,18,7,2
16,24,17,10,12,38,9
5,1,10,19,24,42,7
3,13,17,7,35,11,2
20,8,22,21,41,10,2
2,11,4,29,6,9,3
28,3,12,23,42,40,7
16,13,26,10,35,39,6
42,30,12,34,14,24,0
12,39,40,11,28,21,0
22,42,33,41,27,1,0
15,25,29,33,32,10,1
3,2,34,21,7,28,5
5,27,36,24,20,22,9
5,6,23,1,29,10,0
17,37,1,32,26,23,3
3,1,39,38,37,25,5
40,7,18,1,16,13,8
20,27,41,26,35,24,0
37,8,6,24,3,33,7
28,30,42,15,8,14,0
38,14,18,32,1,5,6
27,38,33,24,29,7,3
38,30,1,19,20,34,5
22,25,2,11,38,7,9
42,29,8,34,16,24,3
35,16,6,28,3,18,8
3,10,9,1,39,12,9
21,39,9,17,40,1,5
25,10,28,29,27,26,9
39,32,8,20,11,5,0
18,27,16,37,28,39,4
23,37,22,19,35,41,6
27,20,1,12,37,2,4
14,30,27,38,10,13,7
18,9,36,13,21,7,8
6,7,2,22,35,39,6
6,32,8,29,22,11,6
9,10,4,7,38,35,9
18,33,30,42,3,2,5
13,11,19,2,20,5,1
40,24,13,14,31,12,9
14,42,17,27,12,24,7
2,30,9,13,32,7,8
16,24,13,14,26,17,8
22,11,33,23,19,38,7
30,15,38,6,17,39,7
23,21,29,30,6,40,2
3,28,5,19,21,4,6
34,23,39,3,17,31,6
5,39,20,42,33,35,4
13,8,35,29,41,7,3
16,32,19,31,8,22,1
14,18,15,23,5,24,0
10,36,42,29,17,35,8
26,35,10,9,39,1,8
26,41,20,15,30,33,9
36,24,18,41,2,12,9
21,33,15,2,20,12,4
33,18,25,19,12,35,1
4,10,5,28,1,24,1
10,2,34,3,40,35,2
30,27,22,16,12,37,3
37,6,36,16,25,9,2
37,42,8,7,31,5,2
29,26,33,41,9,10,8
17,12,37,24,6,10,5
25,30,41,17,31,15,7
1,9,34,5,36,27,7
36,4,6,37,31,27,9
37,34,2,20,30,11,8
16,19,3,11,22,5,7
15,17,32,36,23,31,8
22,17,30,5,40,26,3
5,18,15,22,9,23,9
9,5,29,12,15,2,2
14,35,16,36,29,21,2
10,18,7,2,40,17,3
3,12,7,16,4,19,0
16,37,1,3,34,19,0
17,21,35,8,40,3,2
10,6,28,1,20,17,6
26,14,29,18,15,17,6
31,11,5,8,34,1,7
20,29,32,7,26,31,2
42,11,21,9,12,7,9
31,25,7,41,23,1,6
30,40,32,11,17,12,6
31,34,29,11,35,30,1
6,20,38,18,19,16,5
38,35,22,20,13,5,7
34,13,28,11,3,5,1
16,41,5,6,17,20,9
19,20,8,3,39,14,2
23,40,32,7,42,17,1
6,34,29,40,7,33,3
35,14,7,2,6,30,7
26,10,41,20,2,30,4
25,17,20,38,10,5,8
25,10,15,6,30,21,6
38,41,42,17,32,8,1
17,42,4,5,32,6,9
35,15,2,30,6,16,7
8,5,40,37,22,17,4
26,39,1,2,8,7,0
28,5,37,1,31,2,1
9,33,27,35,36,5,2
41,38,23,9,34,25,3
35,30,15,27,1,9,1
32,12,10,33,42,1,8
11,37,28,6,34,14,6
30,29,26,24,41,39,3
